arch_id,run_id,layers,depth,width,total_params,initial_loss,final_loss,test_loss,gen_gap,improvement_pct,convergence_iter,activation_dist
10,1,"[8, 4, 4, 1]",4,4,61,13.782729935289389,13.684138349514553,12.412920532391599,-1.2712178171229542,0.715326979761833,12,"{np.str_('logistic'): 1, np.str_('relu'): 1}"
10,2,"[8, 4, 4, 1]",4,4,61,13.7644637708195,13.684138349514553,12.410027512076702,-1.274110837437851,0.5835710176754988,5,"{np.str_('relu'): 1, np.str_('logistic'): 1}"
11,0,"[8, 8, 8, 1]",4,8,153,14.26144905599895,13.684138349514551,12.409320895265807,-1.274817454248744,4.048050827216314,4,"{np.str_('logistic'): 1, np.str_('relu'): 1}"
11,1,"[8, 8, 8, 1]",4,8,153,14.00145081445302,13.684140003407878,12.411175988397513,-1.2729640150103645,2.266270940419963,2,{np.str_('logistic'): 2}
11,2,"[8, 8, 8, 1]",4,8,153,14.069512831500841,13.684138487140473,12.41038633576132,-1.2737521513791528,2.7390738327309885,9,{np.str_('logistic'): 2}
12,0,"[8, 16, 16, 1]",4,16,433,13.795108169437155,13.684162462992887,12.411952694182665,-1.2722097688102227,0.8042394817176285,22,{np.str_('logistic'): 2}
12,1,"[8, 16, 16, 1]",4,16,433,14.273161598352388,13.684139031164012,12.410314550533682,-1.2738244806303296,4.12678412648512,8,{np.str_('logistic'): 2}
12,2,"[8, 16, 16, 1]",4,16,433,14.047915824228648,13.684152633095369,12.41158689811116,-1.2725657349842088,2.589445976789602,6,{np.str_('logistic'): 2}
13,0,"[8, 32, 32, 1]",4,32,1377,13.780587643595014,13.684261983250952,12.412163207207456,-1.2720987760434959,0.6989953029240582,70,{np.str_('logistic'): 2}
15,0,"[8, 4, 4, 4, 1]",5,4,81,13.711019356379284,13.684138349514553,12.410725677975218,-1.2734126715393348,0.19605403629033352,12,"{np.str_('logistic'): 2, np.str_('relu'): 1}"
13,1,"[8, 32, 32, 1]",4,32,1377,14.545194011544778,13.684413386613926,12.411548100687595,-1.272865285926331,5.917972797390226,28,{np.str_('logistic'): 2}
15,1,"[8, 4, 4, 4, 1]",5,4,81,13.73408937461107,13.684138349514553,12.410541991623925,-1.2735963578906286,0.3637010342226019,6,"{np.str_('logistic'): 1, np.str_('relu'): 2}"
13,2,"[8, 32, 32, 1]",4,32,1377,13.872233682978726,13.68425019522831,12.411182330001298,-1.2730678652270129,1.3551061209491555,31,{np.str_('logistic'): 2}
