run_id,layers,num_layers,total_params,initial_train_loss,final_train_loss,test_loss,improvement_percent,convergence_iteration,generalization_gap,depth,experiment,width,shape
3,"[8, 16, 16, 16, 1]",5,705,17.500894814988673,5.231638200850665,9.773768002258134,70.1064530919298,280,4.5421298014074685,,shape,,rectangle
4,"[8, 16, 16, 16, 1]",5,705,17.4850200359654,5.4058496512532574,11.00501519740724,69.08296564640005,276,5.599165546153982,,shape,,rectangle
5,"[8, 16, 16, 16, 1]",5,705,17.626306714187454,5.951182334972565,9.876827883484369,66.23692965593044,286,3.9256455485118034,,shape,,rectangle
6,"[8, 16, 16, 16, 1]",5,705,17.628476182757428,5.8004599466991404,10.038546888730943,67.09607860279709,307,4.238086942031803,,shape,,rectangle
7,"[8, 16, 16, 16, 1]",5,705,17.65731537632536,5.718466842456937,10.908950360951621,67.61417735040195,257,5.190483518494684,,shape,,rectangle
8,"[8, 16, 16, 16, 1]",5,705,17.633710233782615,5.796068876942865,10.375733266960797,67.13074673395295,278,4.579664390017932,,shape,,rectangle
9,"[8, 16, 16, 16, 1]",5,705,17.539225291890443,5.621660479080055,9.295200250741557,67.94806848350751,298,3.6735397716615017,,shape,,rectangle
0,"[8, 32, 8, 32, 1]",5,873,17.57768656852066,5.824715884008614,9.854563068473244,66.86301202776069,259,4.0298471844646295,,shape,,bottleneck
1,"[8, 32, 8, 32, 1]",5,873,17.488563119038368,5.59795048598571,12.932952222403006,67.99079233735516,311,7.335001736417296,,shape,,bottleneck
2,"[8, 32, 8, 32, 1]",5,873,17.545001964997507,5.806035563882561,8.228202608132863,66.90775198848269,277,2.422167044250302,,shape,,bottleneck
3,"[8, 32, 8, 32, 1]",5,873,17.549273964761127,5.757696166355012,8.887868389500177,67.19125715447578,296,3.1301722231451654,,shape,,bottleneck
4,"[8, 32, 8, 32, 1]",5,873,17.603975828547288,5.583258188424305,8.788027469260951,68.2841067108813,294,3.204769280836646,,shape,,bottleneck
5,"[8, 32, 8, 32, 1]",5,873,17.563254706801757,5.887170752463754,9.800575663475843,66.48018348111859,233,3.9134049110120896,,shape,,bottleneck
6,"[8, 32, 8, 32, 1]",5,873,17.51766945491176,5.735527051071306,10.080927124018636,67.25861812934752,262,4.3454000729473305,,shape,,bottleneck
7,"[8, 32, 8, 32, 1]",5,873,17.445208205763592,6.269020363201614,12.571771772493635,64.0645139383866,316,6.302751409292021,,shape,,bottleneck
8,"[8, 32, 8, 32, 1]",5,873,17.51483028547395,6.116144419185839,11.988770276338647,65.08019592825681,242,5.872625857152808,,shape,,bottleneck
9,"[8, 32, 8, 32, 1]",5,873,17.55083508875042,5.628418729276698,13.208371833256955,67.9307639732519,240,7.579953103980257,,shape,,bottleneck
